year,jul,aug,summer
1875,26.0,24.9,25.45
1876,24.3,26.6,25.450000000000003
1877,26.5,25.9,26.2
1878,26.0,24.6,25.3
1879,26.1,26.6,26.35
1880,24.2,25.5,24.85
1881,24.0,26.7,25.35
1882,24.2,24.7,24.45
1883,23.7,25.1,24.4
1884,23.4,24.1,23.75
1885,23.1,25.4,24.25
1886,25.0,26.5,25.75
1887,23.6,25.3,24.450000000000003
1888,24.5,25.6,25.05
1889,23.4,25.8,24.6
1890,23.5,25.4,24.45
1891,24.9,25.5,25.2
1892,25.7,26.4,26.049999999999997
1893,25.3,26.2,25.75
1894,26.8,27.0,26.9
1895,22.1,25.5,23.8
1896,24.1,25.9,25.0
1897,22.9,25.0,23.95
1898,25.9,26.1,26.0
1899,23.2,26.1,24.65
1900,22.8,26.1,24.450000000000003
1901,22.1,25.1,23.6
1902,21.8,22.9,22.35
1903,23.2,25.7,24.45
1904,24.8,25.1,24.950000000000003
1905,23.3,22.2,22.75
1906,23.5,24.5,24.0
1907,22.7,25.8,24.25
1908,22.1,25.4,23.75
1909,24.3,25.2,24.75
1910,23.0,24.1,23.55
1911,24.5,25.6,25.05
1912,24.3,25.2,24.75
1913,23.3,23.8,23.55
1914,25.5,26.4,25.95
1915,24.2,25.7,24.95
1916,23.9,25.0,24.45
1917,25.7,25.0,25.35
1918,26.0,26.1,26.05
1919,23.6,25.0,24.3
1920,26.1,25.7,25.9
1921,24.3,25.3,24.8
1922,25.0,27.3,26.15
1923,24.0,27.2,25.6
1924,26.1,26.2,26.15
1925,23.2,25.7,24.45
1926,24.6,26.3,25.450000000000003
1927,26.0,26.6,26.3
1928,23.4,24.1,23.75
1929,25.9,27.1,26.5
1930,26.3,26.8,26.55
1931,21.8,26.4,24.1
1932,25.7,26.7,26.2
1933,26.6,27.5,27.05
1934,23.9,26.1,25.0
1935,24.3,24.8,24.55
1936,24.9,26.5,25.7
1937,26.3,28.2,27.25
1938,25.0,26.0,25.5
1939,26.5,25.8,26.15
1940,26.9,24.9,25.9
1941,23.7,25.4,24.549999999999997
1942,27.5,27.0,27.25
1943,25.1,27.4,26.25
1944,25.6,27.5,26.55
1945,22.0,26.7,24.35
1946,26.2,26.7,26.45
1947,25.7,28.0,26.85
1948,26.0,25.4,25.7
1949,25.3,26.6,25.950000000000003
1950,26.5,26.2,26.35
1951,24.3,26.7,25.5
1952,24.3,26.8,25.55
1953,24.7,25.0,24.85
1954,22.3,27.0,24.65
1955,27.6,26.3,26.950000000000003
1956,24.2,25.4,24.799999999999997
1957,24.4,27.3,25.85
1958,24.9,25.8,25.35
1959,26.1,26.7,26.4
1960,25.8,26.4,26.1
1961,27.4,26.8,27.1
1962,25.1,28.1,26.6
1963,25.7,26.6,26.15
1964,25.5,27.8,26.65
1965,24.2,26.7,25.45
1966,24.4,26.9,25.65
1967,26.3,28.0,27.15
1968,24.7,26.6,25.65
1969,25.0,27.2,26.1
1970,25.4,27.4,26.4
1971,25.8,26.7,26.25
1972,25.2,26.6,25.9
1973,26.1,28.5,27.3
1974,23.4,27.1,25.25
1975,25.6,27.3,26.450000000000003
1976,23.9,25.1,24.5
1977,25.8,25.0,25.4
1978,27.8,28.9,28.35
1979,25.2,27.4,26.299999999999997
1980,23.8,23.4,23.6
1981,26.3,26.2,26.25
1982,23.1,27.1,25.1
1983,23.8,27.5,25.65
1984,26.2,28.6,27.4
1985,26.3,27.9,27.1
1986,23.9,26.8,25.35
1987,27.0,27.3,27.15
1988,22.4,27.0,24.7
1989,24.1,27.1,25.6
1990,25.7,28.6,27.15
1991,26.7,25.5,26.1
1992,25.5,27.0,26.25
1993,22.5,24.8,23.65
1994,28.3,28.9,28.6
1995,26.4,29.4,27.9
1996,26.2,26.0,26.1
1997,26.6,27.0,26.8
1998,25.3,27.2,26.25
1999,25.9,28.5,27.2
2000,27.7,28.3,28.0
2001,28.5,26.4,27.45
2002,28.0,28.0,28.0
2003,22.8,26.0,24.4
2004,28.5,27.2,27.85
2005,25.6,28.1,26.85
2006,25.6,27.5,26.55
2007,24.4,29.0,26.7
2008,27.0,26.8,26.9
2009,26.3,26.6,26.450000000000003
2010,28.0,29.6,28.8
2011,27.3,27.5,27.4
2012,26.4,29.1,27.75
2013,27.3,29.2,28.25
2014,26.8,27.7,27.25
2015,26.2,26.7,26.45
2016,25.4,27.1,26.25
2017,27.3,26.4,26.85
2018,28.3,28.1,28.200000000000003
2019,24.1,28.4,26.25
2020,24.3,29.1,26.700000000000003
2021,25.9,27.4,26.65
2022,27.4,27.5,27.45
2023,28.7,29.2,28.95
2024,28.7,29.0,28.85
2025,28.4,29.6,29.0
