REF_AREA,Reference area,TIME_PERIOD,OBS_VALUE
SWE,Sweden,1950,1820.795
SWE,Sweden,1951,1812.666
SWE,Sweden,1952,1812.666
SWE,Sweden,1953,1794.603
SWE,Sweden,1954,1804.538
SWE,Sweden,1955,1794.603
SWE,Sweden,1956,1772.023
SWE,Sweden,1957,1772.023
SWE,Sweden,1958,1743.122
SWE,Sweden,1959,1719.639
SWE,Sweden,1960,1715.123
SWE,Sweden,1961,1716.93
SWE,Sweden,1962,1706.092
SWE,Sweden,1963,1700.673
SWE,Sweden,1964,1672.674
SWE,Sweden,1965,1662.74
SWE,Sweden,1966,1650.095
SWE,Sweden,1967,1622.097
SWE,Sweden,1968,1583.26
SWE,Sweden,1969,1562.487
SWE,Sweden,1970,1562.084
SWE,Sweden,1971,1533.19
SWE,Sweden,1972,1497.073
SWE,Sweden,1973,1482.626
SWE,Sweden,1974,1465.47
SWE,Sweden,1975,1443.799
SWE,Sweden,1976,1451.926
SWE,Sweden,1977,1427.547
SWE,Sweden,1978,1391.429
SWE,Sweden,1979,1381.497
SWE,Sweden,1980,1380.594
SWE,Sweden,1981,1373.37
SWE,Sweden,1982,1386.011
SWE,Sweden,1983,1395.041
SWE,Sweden,1984,1396.847
SWE,Sweden,1985,1401.361
SWE,Sweden,1986,1399.555
SWE,Sweden,1987,1407.682
SWE,Sweden,1988,1425.741
SWE,Sweden,1989,1423.935
SWE,Sweden,1990,1422.129
SWE,Sweden,1991,1410.391
SWE,Sweden,1992,1424.838
SWE,Sweden,1993,1441.091
SWE,Sweden,1994,1476.305
SWE,Sweden,1995,1481.736
SWE,Sweden,1996,1492.611
SWE,Sweden,1997,1497.143
SWE,Sweden,1998,1496.236
SWE,Sweden,1999,1505.299
SWE,Sweden,2000,1488.986
SWE,Sweden,2001,1468.142
SWE,Sweden,2002,1446.392
SWE,Sweden,2003,1432.798
SWE,Sweden,2004,1452.736
SWE,Sweden,2005,1451.83
SWE,Sweden,2006,1450.017
SWE,Sweden,2007,1461.798
SWE,Sweden,2008,1474.486
SWE,Sweden,2009,1459.986
SWE,Sweden,2010,1485.361
SWE,Sweden,2011,1486.267
SWE,Sweden,2012,1472.674
SWE,Sweden,2013,1464.517
SWE,Sweden,2014,1465.423
SWE,Sweden,2015,1466.33
SWE,Sweden,2016,1478.111
SWE,Sweden,2017,1465.423
SWE,Sweden,2018,1464.517
SWE,Sweden,2019,1450.923
SWE,Sweden,2020,1421.923
SWE,Sweden,2021,1440.954
SWE,Sweden,2022,1435.517
SWE,Sweden,2023,1430.986
SWE,Sweden,2024,1430.986
USA,United States,1950,2002.852
USA,United States,1951,2021.636
USA,United States,1952,2023.635
USA,United States,1953,2028.495
USA,United States,1954,2019.623
USA,United States,1955,2039.928
USA,United States,1956,2038.26
USA,United States,1957,2010.177
USA,United States,1958,1983.864
USA,United States,1959,1994.137
USA,United States,1960,1988.789
USA,United States,1961,1977.861
USA,United States,1962,1996.248
USA,United States,1963,2009.988
USA,United States,1964,2016.407
USA,United States,1965,2025.908
USA,United States,1966,2015.689
USA,United States,1967,1991.881
USA,United States,1968,1980.662
USA,United States,1969,1978.575
USA,United States,1970,1948.727
USA,United States,1971,1936.431
USA,United States,1972,1931.682
USA,United States,1973,1932.577
USA,United States,1974,1901.462
USA,United States,1975,1880.672
USA,United States,1976,1883.513
USA,United States,1977,1886.473
USA,United States,1978,1877.741
USA,United States,1979,1875.686
USA,United States,1980,1859.109
USA,United States,1981,1854.333
USA,United States,1982,1846.421
USA,United States,1983,1866.917
USA,United States,1984,1883.263
USA,United States,1985,1881.752
USA,United States,1986,1874.623
USA,United States,1987,1883.439
USA,United States,1988,1882.867
USA,United States,1989,1895.148
USA,United States,1990,1878.419
USA,United States,1991,1868.058
USA,United States,1992,1867.28
USA,United States,1993,1875.011
USA,United States,1994,1886.99
USA,United States,1995,1886.286
USA,United States,1996,1887.026
USA,United States,1997,1893.567
USA,United States,1998,1891.635
USA,United States,1999,1889.274
USA,United States,2000,1879.846
USA,United States,2001,1859.869
USA,United States,2002,1854.013
USA,United States,2003,1844.095
USA,United States,2004,1845.116
USA,United States,2005,1842.134
USA,United States,2006,1846.845
