area_code,pref,category,index
01000,北海道,総合,101.9
02000,青森県,総合,98.5
03000,岩手県,総合,100.0
04000,宮城県,総合,100.6
05000,秋田県,総合,99.2
06000,山形県,総合,101.4
07000,福島県,総合,98.8
08000,茨城県,総合,97.5
09000,栃木県,総合,97.6
10000,群馬県,総合,96.2
11000,埼玉県,総合,100.3
12000,千葉県,総合,101.2
13000,東京都,総合,104.0
14000,神奈川県,総合,103.3
15000,新潟県,総合,98.0
16000,富山県,総合,98.6
17000,石川県,総合,99.5
18000,福井県,総合,99.3
19000,山梨県,総合,97.7
20000,長野県,総合,97.9
21000,岐阜県,総合,97.1
22000,静岡県,総合,98.3
23000,愛知県,総合,98.1
24000,三重県,総合,98.7
25000,滋賀県,総合,98.6
26000,京都府,総合,101.1
27000,大阪府,総合,99.3
28000,兵庫県,総合,99.2
29000,奈良県,総合,98.1
30000,和歌山県,総合,98.2
31000,鳥取県,総合,98.9
32000,島根県,総合,100.0
33000,岡山県,総合,97.7
34000,広島県,総合,98.7
35000,山口県,総合,99.9
36000,徳島県,総合,99.3
37000,香川県,総合,98.6
38000,愛媛県,総合,98.6
39000,高知県,総合,100.0
40000,福岡県,総合,98.0
41000,佐賀県,総合,97.7
42000,長崎県,総合,99.3
43000,熊本県,総合,99.4
44000,大分県,総合,97.4
45000,宮崎県,総合,97.0
46000,鹿児島県,総合,96.4
47000,沖縄県,総合,100.2
01000,北海道,食料,102.3
02000,青森県,食料,97.6
03000,岩手県,食料,98.7
04000,宮城県,食料,99.7
05000,秋田県,食料,99.6
06000,山形県,食料,101.8
07000,福島県,食料,97.5
08000,茨城県,食料,97.4
09000,栃木県,食料,98.0
10000,群馬県,食料,96.0
11000,埼玉県,食料,98.1
12000,千葉県,食料,100.4
13000,東京都,食料,103.0
14000,神奈川県,食料,102.1
15000,新潟県,食料,98.8
16000,富山県,食料,100.7
17000,石川県,食料,102.1
18000,福井県,食料,102.5
19000,山梨県,食料,98.0
20000,長野県,食料,95.8
21000,岐阜県,食料,97.7
22000,静岡県,食料,97.5
23000,愛知県,食料,97.5
24000,三重県,食料,100.3
25000,滋賀県,食料,98.8
26000,京都府,食料,101.4
27000,大阪府,食料,99.5
28000,兵庫県,食料,100.0
29000,奈良県,食料,98.1
30000,和歌山県,食料,98.9
31000,鳥取県,食料,102.4
32000,島根県,食料,102.5
33000,岡山県,食料,100.7
34000,広島県,食料,101.2
35000,山口県,食料,102.0
36000,徳島県,食料,100.8
37000,香川県,食料,100.8
38000,愛媛県,食料,100.2
39000,高知県,食料,101.0
40000,福岡県,食料,98.7
41000,佐賀県,食料,98.3
42000,長崎県,食料,100.7
43000,熊本県,食料,102.1
44000,大分県,食料,99.3
45000,宮崎県,食料,97.5
46000,鹿児島県,食料,98.2
47000,沖縄県,食料,106.7
01000,北海道,住居,87.1
02000,青森県,住居,93.8
03000,岩手県,住居,95.7
04000,宮城県,住居,98.1
05000,秋田県,住居,86.7
06000,山形県,住居,100.1
07000,福島県,住居,91.7
08000,茨城県,住居,92.0
09000,栃木県,住居,86.6
10000,群馬県,住居,89.8
11000,埼玉県,住居,107.3
12000,千葉県,住居,114.4
13000,東京都,住居,127.2
14000,神奈川県,住居,112.9
15000,新潟県,住居,85.4
16000,富山県,住居,92.3
17000,石川県,住居,82.8
18000,福井県,住居,86.7
19000,山梨県,住居,94.4
20000,長野県,住居,90.9
21000,岐阜県,住居,81.3
22000,静岡県,住居,93.7
23000,愛知県,住居,94.3
24000,三重県,住居,92.1
25000,滋賀県,住居,88.8
26000,京都府,住居,101.8
