year,yen_per_usd,export_vol
2000,107.80404761904761,64.822672271
2001,121.56804,59.7006019549
2002,125.22043824701196,64.3103841437
2003,115.93868525896414,70.2105731968
2004,108.15083003952569,79.5319346192
2005,110.10693227091633,83.7
2006,116.31207171314742,93.1
2007,117.76232283464567,101.8
2008,103.39063492063491,104.1
2009,93.68265873015872,78.2
2010,87.78168,99.7
2011,79.69665338645419,99.2
2012,79.81800796812749,98.2
2013,97.59713147410359,96.3
2014,105.7398,97.9
2015,121.04908366533864,100.0
2016,108.65693227091633,102.3
2017,112.09855421686747,108.4
2018,110.39738955823293,111.2
2019,109.01883534136546,109.2
2020,106.77544,100.3
2021,109.84289156626507,112.3
2022,131.45892,114.4
2023,140.5001204819277,112.5
