year,sex,age,pop
1950,男,0〜4,5792.551
1950,男,5〜9,4877.311
1950,男,10〜14,4456.939
1950,男,15〜19,4367.794
1950,男,20〜24,3871.815
1950,男,25〜29,2847.983
1950,男,30〜34,2382.599
1950,男,35〜39,2396.611
1950,男,40〜44,2217.547
1950,男,45〜49,2035.222
1950,男,50〜54,1733.836
1950,男,55〜59,1392.572
1950,男,60〜64,1120.403
1950,男,65〜69,803.8
1950,男,70〜74,545.748
1950,男,75〜79,270.523
1950,男,80〜84,96.6
1950,男,85歳以上,29.003
1950,女,0〜4,5558.029
1950,女,5〜9,4747.167
1950,女,10〜14,4354.415
1950,女,15〜19,4301.651
1950,女,20〜24,3932.721
1950,女,25〜29,3398.305
1950,女,30〜34,2871.802
1950,女,35〜39,2698.407
1950,女,40〜44,2307.924
1950,女,45〜49,2007.152
1950,女,50〜54,1687.56
1950,女,55〜59,1387.462
1950,女,60〜64,1208.946
1950,女,65〜69,986.148
1950,女,70〜74,749.903
1950,女,75〜79,423.156
1950,女,80〜84,182.654
1950,女,85歳以上,67.509
2024,女,0〜4,1920.0
2024,女,10〜14,2528.0
2024,女,15〜19,2658.0
2024,女,20〜24,3029.0
2024,女,25〜29,3163.0
2024,女,30〜34,3107.0
2024,女,35〜39,3362.0
2024,女,40〜44,3760.0
2024,女,45〜49,4313.0
2024,女,50〜54,4845.0
2024,女,55〜59,4239.0
2024,女,5〜9,2298.0
2024,女,60〜64,3818.0
2024,女,65〜69,3728.0
2024,女,70〜74,4326.0
2024,女,75〜79,4320.0
2024,女,80〜84,3584.0
2024,女,85歳以上,4570.0
2024,男,0〜4,2015.0
2024,男,10〜14,2657.0
2024,男,15〜19,2799.0
2024,男,20〜24,3231.0
2024,男,25〜29,3356.0
2024,男,30〜34,3289.0
2024,男,35〜39,3509.0
2024,男,40〜44,3871.0
2024,男,45〜49,4432.0
2024,男,50〜54,4943.0
2024,男,55〜59,4251.0
2024,男,5〜9,2412.0
2024,男,60〜64,3753.0
2024,男,65〜69,3539.0
2024,男,70〜74,3872.0
2024,男,75〜79,3566.0
2024,男,80〜84,2553.0
2024,男,85歳以上,2185.0
