year,births,marriage_rate,marriages,tfr
1899,1386981.0,6.9,297372.0,
1900,1420534.0,7.9,346528.0,
1901,1501591.0,8.5,378457.0,
1902,1510835.0,8.8,394165.0,
1903,1489816.0,8.1,370961.0,
1904,1440371.0,8.6,398930.0,
1905,1452770.0,7.5,350898.0,
1906,1394295.0,7.5,352857.0,
1907,1614472.0,9.1,432949.0,
1908,1662815.0,9.6,461254.0,
1909,1693850.0,9.0,437882.0,
1910,1712857.0,9.0,441222.0,
1911,1747803.0,8.7,433117.0,
1912,1737674.0,8.5,430422.0,
1913,1757441.0,8.4,431287.0,
1914,1808402.0,8.7,452932.0,
1915,1799326.0,8.4,445210.0,
1916,1804822.0,8.1,433680.0,
1917,1812413.0,8.3,447970.0,
1918,1791992.0,9.1,500580.0,
1919,1778685.0,8.7,480136.0,
1920,2025564.0,9.8,546207.0,
1921,1990876.0,9.2,519217.0,
1922,1969314.0,9.0,515916.0,
1923,2043297.0,8.8,512689.0,
1924,1998520.0,8.7,513130.0,
1925,2086091.0,8.7,521438.0,
1926,2104405.0,8.3,502847.0,
1927,2060737.0,7.9,487850.0,
1928,2135852.0,8.0,499555.0,
1929,2077026.0,7.8,497410.0,
1930,2085101.0,7.9,506674.0,
1931,2102784.0,7.6,496574.0,
1932,2182742.0,7.8,515270.0,
1933,2121253.0,7.2,486058.0,
1934,2043783.0,7.5,512654.0,
1935,2190704.0,8.0,556730.0,
1936,2101969.0,7.8,549116.0,
1937,2180734.0,9.5,674500.0,
1938,1928321.0,7.6,538831.0,
1939,1901573.0,7.8,554321.0,
1940,2115867.0,9.3,666575.0,
1941,2277283.0,11.0,791625.0,
1942,2233660.0,9.4,679044.0,
1943,2253535.0,10.2,743842.0,
1947,2678792.0,12.0,934170.0,4.54
1948,2681624.0,11.9,953999.0,4.4
1949,2696638.0,10.3,842170.0,4.32
1950,2337507.0,8.6,715081.0,3.65
1951,2137689.0,7.9,671905.0,3.26
1952,2005162.0,7.9,676995.0,2.98
1953,1868040.0,7.8,682077.0,2.69
1954,1769580.0,7.9,697809.0,2.48
1955,1730692.0,8.0,714861.0,2.37
1956,1665278.0,7.9,715934.0,2.22
1957,1566713.0,8.5,773362.0,2.04
1958,1653469.0,9.0,826902.0,2.11
1959,1626088.0,9.1,847135.0,2.04
1960,1606041.0,9.3,866115.0,2.0
1961,1589372.0,9.4,890158.0,1.96
1962,1618616.0,9.8,928341.0,1.98
1963,1659521.0,9.7,937516.0,2.0
1964,1716761.0,9.9,963130.0,2.05
1965,1823697.0,9.7,954852.0,2.14
1966,1360974.0,9.5,940120.0,1.58
1967,1935647.0,9.6,953096.0,2.23
1968,1871839.0,9.5,956312.0,2.13
1969,1889815.0,9.6,984142.0,2.13
1970,1934239.0,10.0,1029405.0,2.13
1971,2000973.0,10.5,1091229.0,2.16
1972,2038682.0,10.4,1099984.0,2.14
1973,2091983.0,9.9,1071923.0,2.14
1974,2029989.0,9.1,1000455.0,2.05
1975,1901440.0,8.5,941628.0,1.91
1976,1832617.0,7.8,871543.0,1.85
1977,1755100.0,7.2,821029.0,1.8
1978,1708643.0,6.9,793257.0,1.79
1979,1642580.0,6.8,788505.0,1.77
1980,1576889.0,6.7,774702.0,1.75
1981,1529455.0,6.6,776531.0,1.74
1982,1515392.0,6.6,781252.0,1.77
1983,1508687.0,6.4,762552.0,1.8
1984,1489780.0,6.2,739991.0,1.81
1985,1431577.0,6.1,735850.0,1.76
1986,1382946.0,5.9,710962.0,1.72
1987,1346658.0,5.7,696173.0,1.69
1988,1314006.0,5.8,707716.0,1.66
1989,1246802.0,5.8,708316.0,1.57
1990,1221585.0,5.9,722138.0,1.54
1991,1223245.0,6.0,742264.0,1.53
1992,1208989.0,6.1,754441.0,1.5
1993,1188282.0,6.4,792658.0,1.46
1994,1238328.0,6.3,782738.0,1.5
1995,1187064.0,6.4,791888.0,1.42
1996,1206555.0,6.4,795080.0,1.43
1997,1191665.0,6.2,775651.0,1.39
1998,1203147.0,6.3,784595.0,1.38
1999,1177669.0,6.1,762028.0,1.34
2000,1190547.0,6.4,798138.0,1.36
2001,1170662.0,6.4,799999.0,1.33
2002,1153855.0,6.0,757331.0,1.32
2003,1123610.0,5.9,740191.0,1.29
2004,1110721.0,5.7,720418.0,1.29
2005,1062530.0,5.7,714265.0,1.26
2006,1092674.0,5.8,730973.0,1.32
2007,1089818.0,5.7,719822.0,1.34
2008,1091156.0,5.8,726106.0,1.37
2009,1070036.0,5.6,707740.0,1.37
2010,1071305.0,5.5,700222.0,1.39
2011,1050807.0,5.2,661898.0,1.39
2012,1037232.0,5.3,668870.0,1.41
2013,1029817.0,5.3,660622.0,1.43
2014,1003609.0,5.1,643783.0,1.42
2015,1005721.0,5.1,635225.0,1.45
2016,977242.0,5.0,620707.0,1.44
2017,946146.0,4.9,606952.0,1.43
2018,918400.0,4.7,586481.0,1.42
2019,865239.0,4.8,599007.0,1.36
2020,840835.0,4.3,525507.0,1.33
2021,811622.0,4.1,501138.0,1.3
2022,770759.0,4.1,504930.0,1.26
2023,727288.0,3.9,474741.0,1.2
2024,686173.0,4.0,485092.0,1.15
