pref,birth_rate,divorce_rate,marriage_rate,population,tfr
三重県,5.4,1.54,3.7,1649000.0,1.24
京都府,5.3,1.5,3.7,2441000.0,1.05
佐賀県,6.2,1.49,3.4,777000.0,1.41
兵庫県,5.9,1.59,3.8,5204000.0,1.23
北海道,4.5,1.76,3.5,4980000.0,1.01
千葉県,5.6,1.5,4.0,6057000.0,1.09
和歌山県,5.1,1.7,3.4,871000.0,1.24
埼玉県,5.6,1.49,4.0,7083000.0,1.09
大分県,5.6,1.63,3.4,1066000.0,1.37
大阪府,6.3,1.79,4.7,8453000.0,1.14
奈良県,5.3,1.47,3.0,1267000.0,1.19
宮城県,5.1,1.43,3.7,2219000.0,1.0
宮崎県,5.9,1.74,3.4,1021000.0,1.43
富山県,5.2,1.13,3.4,974000.0,1.29
山口県,5.4,1.44,3.3,1260000.0,1.36
山形県,4.7,1.18,2.9,1001000.0,1.17
山梨県,5.4,1.52,3.6,769000.0,1.26
岐阜県,5.3,1.42,3.4,1846000.0,1.27
岡山県,6.1,1.62,3.8,1795000.0,1.27
岩手県,4.3,1.28,2.9,1134000.0,1.09
島根県,5.7,1.32,3.1,631000.0,1.43
広島県,5.9,1.54,3.8,2655000.0,1.29
徳島県,5.2,1.47,3.4,678000.0,1.32
愛媛県,5.2,1.5,3.3,1259000.0,1.28
愛知県,6.4,1.55,4.5,7160000.0,1.22
新潟県,4.8,1.19,3.1,2078000.0,1.14
東京都,6.3,1.52,5.7,13463000.0,0.96
栃木県,5.1,1.5,3.6,1830000.0,1.15
沖縄県,8.2,2.24,4.4,1437000.0,1.54
滋賀県,6.5,1.4,3.9,1360000.0,1.32
熊本県,6.2,1.67,3.6,1669000.0,1.39
石川県,5.6,1.26,3.5,1079000.0,1.23
神奈川県,5.8,1.48,4.4,8941000.0,1.08
福井県,6.1,1.27,3.6,721000.0,1.46
福岡県,6.5,1.79,4.2,4989000.0,1.22
福島県,4.8,1.51,3.2,1724000.0,1.15
秋田県,3.7,1.17,2.5,891000.0,1.04
群馬県,5.2,1.54,3.4,1811000.0,1.2
茨城県,5.1,1.54,3.5,2716000.0,1.16
長崎県,5.7,1.54,3.3,1237000.0,1.39
長野県,5.4,1.35,3.5,1945000.0,1.3
青森県,4.4,1.51,2.9,1157000.0,1.14
静岡県,5.1,1.44,3.6,3411000.0,1.19
香川県,5.6,1.6,3.7,899000.0,1.36
高知県,4.8,1.65,3.2,649000.0,1.25
鳥取県,5.9,1.49,3.3,525000.0,1.43
鹿児島県,5.9,1.65,3.3,1513000.0,1.38
