area_code,area,change_num,change_pct,pop_2015
00000,全国,-948646.0,-0.74641,127094745.0
01000,北海道,-157119.0,-2.91949,5381733.0
01100,札幌市,21039.0,1.07762,1952356.0
01101,札幌市中央区,11053.0,4.65141,237627.0
01102,札幌市北区,4002.0,1.40263,285321.0
01103,札幌市東区,3467.0,1.32373,261912.0
01104,札幌市白石区,2251.0,1.07403,209584.0
01105,札幌市豊平区,6646.0,3.03953,218652.0
01106,札幌市南区,-5413.0,-3.83384,141190.0
01107,札幌市西区,3462.0,1.62095,213578.0
01108,札幌市厚別区,-2684.0,-2.1007,127767.0
01109,札幌市手稲区,1626.0,1.1532,140999.0
01110,札幌市清田区,-3371.0,-2.91291,115726.0
01202,函館市,-14895.0,-5.60007,265979.0
01203,小樽市,-10625.0,-8.71445,121924.0
01204,旭川市,-10299.0,-3.03264,339605.0
01205,室蘭市,-6181.0,-6.97913,88564.0
01206,釧路市,-9665.0,-5.53101,174742.0
01207,帯広市,-2791.0,-1.64829,169327.0
01208,北見市,-5746.0,-4.73991,121226.0
01209,夕張市,-1509.0,-17.06434,8843.0
0120B,（旧：函館市）,-13133.0,-5.16728,254157.0
0120C,（旧：釧路市）,-8914.0,-5.30832,167925.0
0120D,（旧：北見市）,-3979.0,-3.75452,105979.0
01210,岩見沢市,-5193.0,-6.14563,84499.0
01211,網走市,-3318.0,-8.49093,39077.0
01212,留萌市,-2107.0,-9.48202,22221.0
01213,苫小牧市,-2624.0,-1.51907,172737.0
01214,稚内市,-2817.0,-7.74327,36380.0
01215,美唄市,-2622.0,-11.38268,23035.0
01216,芦別市,-2121.0,-14.45217,14676.0
01217,江別市,420.0,0.34815,120636.0
01218,赤平市,-1407.0,-12.66997,11105.0
01219,紋別市,-1894.0,-8.19594,23109.0
0121B,（旧：岩見沢市）,-4164.0,-5.45397,76348.0
01220,士別市,-2056.0,-10.32439,19914.0
01221,名寄市,-1766.0,-6.07959,29048.0
01222,三笠市,-1036.0,-11.41472,9076.0
01223,根室市,-2281.0,-8.4742,26917.0
01224,千歳市,2302.0,2.40674,95648.0
01225,滝川市,-1702.0,-4.13187,41192.0
01226,砂川市,-1208.0,-6.82717,17694.0
01227,歌志内市,-596.0,-16.62483,3585.0
01228,深川市,-1870.0,-8.53531,21909.0
01229,富良野市,-1805.0,-7.86972,22936.0
0122B,（旧：士別市）,-1848.0,-9.94511,18582.0
0122C,（旧：名寄市）,-1258.0,-5.02276,25046.0
01230,登別市,-3234.0,-6.51688,49625.0
01231,恵庭市,629.0,0.90241,69702.0
01233,伊達市,-2169.0,-6.19803,34995.0
01234,北広島市,-893.0,-1.51192,59064.0
01235,石狩市,-567.0,-0.98719,57436.0
01236,北斗市,-2088.0,-4.50097,46390.0
0123B,（旧：伊達市）,-1877.0,-5.58216,33625.0
0123C,（旧：石狩市）,-34.0,-0.06275,54181.0
01303,当別町,-1362.0,-7.88286,17278.0
01304,新篠津村,-285.0,-8.56113,3329.0
01305,（旧：厚田村）,-289.0,-14.99741,1927.0
01306,（旧：浜益村）,-244.0,-18.37349,1328.0
01331,松前町,-1077.0,-14.67902,7337.0
01332,福島町,-628.0,-14.20172,4422.0
01333,知内町,-486.0,-10.44487,4653.0
01334,木古内町,-715.0,-15.72465,4547.0
01335,（旧：上磯町）,-1923.0,-5.3123,36199.0
01336,（旧：大野町）,-165.0,-1.61908,10191.0
01337,七飯町,-434.0,-1.54339,28120.0
01339,（旧：戸井町）,-386.0,-14.41913,2677.0
01340,（旧：恵山町）,-507.0,-16.93953,2993.0
01341,（旧：椴法華村）,-165.0,-18.13187,910.0
01342,（旧：南茅部町）,-704.0,-13.42999,5242.0
01343,鹿部町,-466.0,-11.02698,4226.0
01344,（旧：砂原町）,-439.0,-11.42337,3843.0
01345,森町,-1608.0,-10.08403,15946.0
01346,八雲町,-1426.0,-8.26571,17252.0
01347,長万部町,-817.0,-13.7867,5926.0
0134B,（旧：森町）,-1169.0,-9.65876,12103.0
0134C,（旧：八雲町）,-997.0,-6.72286,14830.0
01361,江差町,-820.0,-9.9418,8248.0
01362,上ノ国町,-570.0,-11.68991,4876.0
01363,厚沢部町,-457.0,-11.28674,4049.0
01364,乙部町,-503.0,-12.87762,3906.0
01365,（旧：熊石町）,-429.0,-17.71263,2422.0
01366,（旧：大成町）,-300.0,-18.98734,1580.0
01367,奥尻町,-280.0,-10.40892,2690.0
01368,（旧：瀬棚町）,-317.0,-16.40787,1932.0
01369,（旧：北檜山町）,-458.0,-9.23201,4961.0
01370,今金町,-556.0,-9.87918,5628.0
01371,せたな町,-1075.0,-12.68736,8473.0
01391,島牧村,-143.0,-9.53969,1499.0
01392,寿都町,-299.0,-9.5314,3137.0
01393,黒松内町,-291.0,-9.44192,3082.0
01394,蘭越町,-275.0,-5.6783,4843.0
01395,ニセコ町,116.0,2.33965,4958.0
01396,真狩村,-58.0,-2.75796,2103.0
01397,留寿都村,4.0,0.20975,1907.0
01398,喜茂別町,-138.0,-6.01569,2294.0
01399,京極町,-246.0,-7.71886,3187.0
01400,倶知安町,111.0,0.73911,15018.0
01401,共和町,-452.0,-7.26221,6224.0
01402,岩内町,-1394.0,-10.68854,13042.0
01403,泊村,-202.0,-11.40599,1771.0
01404,神恵内村,-134.0,-13.34661,1004.0
01405,積丹町,-284.0,-13.4279,2115.0
01406,古平町,-443.0,-13.89586,3188.0
01407,仁木町,-318.0,-9.09091,3498.0
01408,余市町,-1607.0,-8.19605,19607.0
01409,赤井川村,44.0,3.92507,1121.0
01421,（旧：北村）,-387.0,-14.29627,2707.0
01422,（旧：栗沢町）,-642.0,-11.7928,5444.0
01423,南幌町,-608.0,-7.66999,7927.0
01424,奈井江町,-554.0,-9.76384,5674.0
01425,上砂川町,-638.0,-18.3386,3479.0
01427,由仁町,-492.0,-9.25856,5314.0
01428,長沼町,-787.0,-7.10545,11076.0
01429,栗山町,-1072.0,-8.68438,12344.0
01430,月形町,-886.0,-19.35766,4577.0
01431,浦臼町,-253.0,-12.74559,1985.0
01432,新十津川町,-347.0,-5.07978,6831.0
01433,妹背牛町,-398.0,-12.87609,3091.0
01434,秩父別町,-184.0,-7.32193,2513.0
01436,雨竜町,-360.0,-13.09567,2749.0
01437,北竜町,-257.0,-12.97325,1981.0
01438,沼田町,-272.0,-8.55077,3181.0
01439,（旧：幌加内町）,-155.0,-10.16393,1525.0
01452,鷹栖町,-451.0,-6.42633,7018.0
01453,東神楽町,-106.0,-1.03586,10233.0
01454,当麻町,-370.0,-5.53147,6689.0
01455,比布町,-257.0,-6.80434,3777.0
01456,愛別町,-371.0,-12.4664,2976.0
01457,上川町,-544.0,-13.45203,4044.0
01458,東川町,203.0,2.50277,8111.0
01459,美瑛町,-624.0,-6.06296,10292.0
01460,上富良野町,-478.0,-4.4153,10826.0
01461,中富良野町,-336.0,-6.62853,5069.0
01462,南富良野町,-179.0,-7.00587,2555.0
01463,占冠村,95.0,7.84476,1211.0
01464,和寒町,-404.0,-11.23471,3596.0
01465,剣淵町,-302.0,-9.35564,3228.0
01466,（旧：朝日町）,-208.0,-15.61562,1332.0
01467,（旧：風連町）,-508.0,-12.69365,4002.0
01468,下川町,-421.0,-11.86919,3547.0
01469,美深町,-514.0,-11.03241,4659.0
01470,音威子府村,-126.0,-15.14423,832.0
01471,中川町,-239.0,-13.52575,1767.0
