REF_AREA,Reference area,MEASURE,Measure,SEX,OBS_VALUE,Unit of measure
AUS,Australia,LEI,Leisure,F,269.0,Minutes per day
AUS,Australia,PCA,Personal care,F,666.0,Minutes per day
AUS,Australia,UPW,Unpaid work,F,311.0,Minutes per day
AUS,Australia,PAW,Paid work or study,F,172.0,Minutes per day
AUS,Australia,OTH,Other,M,18.0627177700348,Minutes per day
AUS,Australia,LEI,Leisure,M,297.031358885017,Minutes per day
AUS,Australia,PCA,Personal care,M,649.254355400697,Minutes per day
AUS,Australia,UPW,Unpaid work,M,171.595818815331,Minutes per day
AUS,Australia,PAW,Paid work or study,M,304.05574912892,Minutes per day
AUS,Australia,OTH,Other,_T,20.0138985406532,Minutes per day
AUS,Australia,LEI,Leisure,_T,281.195274496178,Minutes per day
AUS,Australia,PCA,Personal care,_T,657.456567060459,Minutes per day
AUS,Australia,UPW,Unpaid work,_T,243.168867268937,Minutes per day
AUS,Australia,PAW,Paid work or study,_T,238.165392633774,Minutes per day
AUT,Austria,OTH,Other,M,10.29041,Minutes per day
AUT,Austria,OTH,Other,F,13.43353,Minutes per day
AUT,Austria,LEI,Leisure,_T,306.87112,Minutes per day
AUT,Austria,LEI,Leisure,M,321.9786,Minutes per day
AUT,Austria,LEI,Leisure,F,291.65012,Minutes per day
AUT,Austria,PCA,Personal care,_T,667.66179,Minutes per day
AUT,Austria,PCA,Personal care,M,657.36157,Minutes per day
AUT,Austria,PCA,Personal care,F,678.03942,Minutes per day
AUT,Austria,UPW,Unpaid work,_T,187.97064,Minutes per day
AUT,Austria,UPW,Unpaid work,M,138.51473,Minutes per day
AUT,Austria,UPW,Unpaid work,F,237.79821,Minutes per day
AUT,Austria,PAW,Paid work or study,_T,265.64036,Minutes per day
AUT,Austria,PAW,Paid work or study,M,311.85469,Minutes per day
AUT,Austria,PAW,Paid work or study,F,219.07872,Minutes per day
BEL,Belgium,LEI,Leisure,F,316.706652420455,Minutes per day
BEL,Belgium,PCA,Personal care,F,677.39721737857,Minutes per day
BEL,Belgium,UPW,Unpaid work,F,237.322972016499,Minutes per day
BEL,Belgium,PAW,Paid work or study,F,199.232497362733,Minutes per day
BEL,Belgium,OTH,Other,_T,9.22128002575055,Minutes per day
BEL,Belgium,LEI,Leisure,_T,339.350143735728,Minutes per day
BEL,Belgium,PCA,Personal care,_T,664.046350849856,Minutes per day
BEL,Belgium,UPW,Unpaid work,_T,191.820156132893,Minutes per day
BEL,Belgium,PAW,Paid work or study,_T,235.75362369589,Minutes per day
BEL,Belgium,OTH,Other,M,8.49297181254282,Minutes per day
BEL,Belgium,LEI,Leisure,M,365.173129943823,Minutes per day
BEL,Belgium,PCA,Personal care,M,648.457437883643,Minutes per day
BEL,Belgium,UPW,Unpaid work,M,144.172378478972,Minutes per day
BEL,Belgium,PAW,Paid work or study,M,273.704081881019,Minutes per day
CAN,Canada,OTH,Other,M,31.7075201869011,Minutes per day
CAN,Canada,LEI,Leisure,M,225.542171895504,Minutes per day
CAN,Canada,PCA,Personal care,M,647.910270988941,Minutes per day
CAN,Canada,UPW,Unpaid work,M,163.9218968153,Minutes per day
CAN,Canada,PAW,Paid work or study,M,370.918160676956,Minutes per day
CAN,Canada,OTH,Other,F,29.3266840696335,Minutes per day
CAN,Canada,LEI,Leisure,F,196.907735896111,Minutes per day
CAN,Canada,PCA,Personal care,F,663.740665984154,Minutes per day
CAN,Canada,UPW,Unpaid work,F,247.182051444054,Minutes per day
CAN,Canada,PAW,Paid work or study,F,302.842900800705,Minutes per day
CAN,Canada,LEI,Leisure,_T,211.271826052666,Minutes per day
CAN,Canada,PCA,Personal care,_T,655.960117149353,Minutes per day
CAN,Canada,UPW,Unpaid work,_T,205.286788487434,Minutes per day
CAN,Canada,PAW,Paid work or study,_T,336.957614922523,Minutes per day
DNK,Denmark,OTH,Other,M,11.2140576221717,Minutes per day
DNK,Denmark,LEI,Leisure,M,339.542605681607,Minutes per day
DNK,Denmark,PCA,Personal care,M,643.039503916384,Minutes per day
DNK,Denmark,UPW,Unpaid work,M,186.136081859719,Minutes per day
DNK,Denmark,PAW,Paid work or study,M,260.067750920119,Minutes per day
DNK,Denmark,OTH,Other,F,9.61420494377903,Minutes per day
DNK,Denmark,LEI,Leisure,F,319.612544451975,Minutes per day
DNK,Denmark,PCA,Personal care,F,673.378544051551,Minutes per day
DNK,Denmark,UPW,Unpaid work,F,242.808720907722,Minutes per day
DNK,Denmark,PAW,Paid work or study,F,194.585985644973,Minutes per day
DNK,Denmark,OTH,Other,_T,10.3519569387025,Minutes per day
DNK,Denmark,LEI,Leisure,_T,328.844813086877,Minutes per day
DNK,Denmark,PCA,Personal care,_T,659.359294963398,Minutes per day
DNK,Denmark,PAW,Paid work or study,_T,224.816593619938,Minutes per day
EST,Estonia,OTH,Other,M,17.5000376944963,Minutes per day
EST,Estonia,LEI,Leisure,M,324.78124626106,Minutes per day
EST,Estonia,PCA,Personal care,M,650.692295842542,Minutes per day
EST,Estonia,UPW,Unpaid work,M,139.187715531909,Minutes per day
EST,Estonia,PAW,Paid work or study,M,307.838805529711,Minutes per day
EST,Estonia,OTH,Other,F,19.0606822878249,Minutes per day
EST,Estonia,LEI,Leisure,F,277.308677528336,Minutes per day
EST,Estonia,PCA,Personal care,F,656.283679845747,Minutes per day
EST,Estonia,UPW,Unpaid work,F,209.36915508837,Minutes per day
EST,Estonia,PAW,Paid work or study,F,277.977763660019,Minutes per day
EST,Estonia,OTH,Other,_T,18.3018223129704,Minutes per day
EST,Estonia,LEI,Leisure,_T,301.154043831466,Minutes per day
EST,Estonia,PCA,Personal care,_T,653.821360150578,Minutes per day
EST,Estonia,UPW,Unpaid work,_T,173.660976027159,Minutes per day
FIN,Finland,LEI,Leisure,M,350.287681461297,Minutes per day
FIN,Finland,PCA,Personal care,M,628.108680047168,Minutes per day
FIN,Finland,UPW,Unpaid work,M,161.987690264496,Minutes per day
FIN,Finland,PAW,Paid work or study,M,257.162925567918,Minutes per day
FIN,Finland,OTH,Other,F,37.2027739363302,Minutes per day
FIN,Finland,LEI,Leisure,F,308.540555071002,Minutes per day
FIN,Finland,PCA,Personal care,F,663.376294260677,Minutes per day
FIN,Finland,UPW,Unpaid work,F,208.748649916855,Minutes per day
FIN,Finland,PAW,Paid work or study,F,222.131707192206,Minutes per day
FIN,Finland,OTH,Other,_T,39.8454146003223,Minutes per day
FIN,Finland,LEI,Leisure,_T,329.806604610792,Minutes per day
FIN,Finland,PCA,Personal care,_T,644.694376416737,Minutes per day
FIN,Finland,UPW,Unpaid work,_T,185.546038763971,Minutes per day
FIN,Finland,PAW,Paid work or study,_T,240.107553814392,Minutes per day
FRA,France,LEI,Leisure,M,319.130806843015,Minutes per day
FRA,France,PCA,Personal care,M,742.955399211535,Minutes per day
FRA,France,UPW,Unpaid work,M,134.939453321805,Minutes per day
FRA,France,PAW,Paid work or study,M,235.132065209748,Minutes per day
FRA,France,OTH,Other,F,9.97471687486579,Minutes per day
FRA,France,LEI,Leisure,F,269.743379658742,Minutes per day
FRA,France,PCA,Personal care,F,760.888066736224,Minutes per day
FRA,France,UPW,Unpaid work,F,224.030847649372,Minutes per day
FRA,France,PAW,Paid work or study,F,175.362989080796,Minutes per day
FRA,France,OTH,Other,_T,8.94711452440032,Minutes per day
FRA,France,LEI,Leisure,_T,293.542647204861,Minutes per day
FRA,France,PCA,Personal care,_T,752.246544090006,Minutes per day
FRA,France,UPW,Unpaid work,_T,181.098549714387,Minutes per day
FRA,France,PAW,Paid work or study,_T,204.165144466346,Minutes per day
DEU,Germany,LEI,Leisure,M,358.043239341812,Minutes per day
DEU,Germany,PCA,Personal care,M,649.180886150432,Minutes per day
DEU,Germany,UPW,Unpaid work,M,151.641156779146,Minutes per day
DEU,Germany,PAW,Paid work or study,M,276.811841355819,Minutes per day
DEU,Germany,OTH,Other,F,5.79113597393979,Minutes per day
DEU,Germany,LEI,Leisure,F,324.460858939834,Minutes per day
DEU,Germany,PCA,Personal care,F,667.244830408694,Minutes per day
DEU,Germany,UPW,Unpaid work,F,232.621356855328,Minutes per day
DEU,Germany,PAW,Paid work or study,F,209.881920764596,Minutes per day
DEU,Germany,OTH,Other,_T,5.11310158690526,Minutes per day
DEU,Germany,LEI,Leisure,_T,340.882835020573,Minutes per day
DEU,Germany,PCA,Personal care,_T,657.602393315668,Minutes per day
DEU,Germany,UPW,Unpaid work,_T,192.354335749111,Minutes per day
DEU,Germany,PAW,Paid work or study,_T,244.047244752997,Minutes per day
GRC,Greece,OTH,Other,M,3.0,Minutes per day
GRC,Greece,OTH,Other,F,7.0,Minutes per day
GRC,Greece,LEI,Leisure,_T,335.0,Minutes per day
