area,pref,life_m,life_f,doctors,healthy_m,healthy_f,pop
01000,北海道,80.92,87.08,13731.0,71.6,75.03,5224614.0
02000,青森県,79.27,86.33,2773.0,71.73,76.05,1237984.0
03000,岩手県,80.64,87.05,2700.0,71.39,74.69,1210534.0
04000,宮城県,81.7,87.51,5950.0,72.9,75.1,2301996.0
05000,秋田県,80.48,87.1,2444.0,72.61,76.0,959502.0
06000,山形県,81.39,87.38,2608.0,72.65,75.67,1068027.0
07000,福島県,80.6,86.81,3958.0,72.28,75.37,1833152.0
08000,茨城県,80.89,86.94,5838.0,72.71,75.8,2867009.0
09000,栃木県,81.0,86.89,4773.0,72.62,76.36,1933146.0
10000,群馬県,81.13,87.18,4735.0,73.41,75.8,1939110.0
11000,埼玉県,81.44,87.31,13604.0,73.48,75.73,7344765.0
12000,千葉県,81.45,87.5,13396.0,72.61,75.71,6284480.0
13000,東京都,81.77,87.86,48072.0,72.94,74.55,14047594.0
14000,神奈川県,82.04,87.89,21377.0,73.15,74.97,9237337.0
15000,新潟県,81.29,87.57,4803.0,72.61,75.68,2201272.0
16000,富山県,81.74,87.97,2832.0,72.71,76.18,1034814.0
17000,石川県,82.0,88.11,3486.0,73.08,75.9,1132526.0
18000,福井県,81.98,87.84,2074.0,73.2,75.74,766863.0
19000,山梨県,81.71,87.94,2101.0,73.57,76.74,809974.0
20000,長野県,82.68,88.23,5217.0,72.55,74.99,2048011.0
21000,岐阜県,81.9,87.51,4580.0,73.08,76.18,1978742.0
22000,静岡県,81.59,87.48,8271.0,73.45,76.58,3633202.0
23000,愛知県,81.77,87.52,17842.0,72.85,76.09,7542415.0
24000,三重県,81.68,87.59,4298.0,72.9,77.58,1770254.0
25000,滋賀県,82.73,88.26,3496.0,73.46,74.44,1413610.0
26000,京都府,82.24,88.25,9156.0,72.71,73.68,2578087.0
27000,大阪府,80.81,87.37,26431.0,71.88,74.78,8837685.0
28000,兵庫県,81.72,87.9,15133.0,72.48,75.5,5465002.0
29000,奈良県,82.4,87.95,3810.0,72.7,74.95,1324473.0
30000,和歌山県,81.03,87.36,2941.0,72.39,75.33,922584.0
31000,鳥取県,81.34,87.91,1871.0,71.58,74.74,553407.0
32000,島根県,81.63,88.21,2108.0,72.59,76.42,671126.0
33000,岡山県,81.9,88.29,6290.0,72.28,76.04,1888432.0
34000,広島県,81.95,88.16,7805.0,72.71,74.59,2799702.0
35000,山口県,81.12,87.43,3682.0,73.31,75.33,1342059.0
36000,徳島県,81.27,87.42,2567.0,72.13,75.03,719559.0
37000,香川県,81.56,87.64,2886.0,72.34,75.47,950244.0
38000,愛媛県,81.13,87.34,3847.0,71.5,74.58,1334841.0
39000,高知県,80.79,87.84,2305.0,71.63,76.32,691527.0
40000,福岡県,81.38,87.7,16784.0,72.22,75.19,5135214.0
41000,佐賀県,81.41,87.78,2445.0,72.94,75.47,811442.0
42000,長崎県,81.01,87.41,4399.0,72.29,75.42,1312317.0
43000,熊本県,81.91,88.22,5415.0,72.24,75.59,1738301.0
44000,大分県,81.88,87.99,3370.0,73.72,76.6,1123852.0
45000,宮崎県,81.15,87.6,2879.0,73.3,76.71,1069576.0
46000,鹿児島県,80.95,87.53,4653.0,73.4,76.23,1588256.0
47000,沖縄県,80.73,87.88,3887.0,72.11,75.51,1467480.0
