area,pref,stores,pop
01000,北海道,3007.0,5259000.0
02000,青森県,604.0,1253000.0
03000,岩手県,544.0,1226000.0
04000,宮城県,1155.0,2312000.0
05000,秋田県,460.0,972000.0
06000,山形県,448.0,1080000.0
07000,福島県,897.0,1852000.0
08000,茨城県,1434.0,2879000.0
09000,栃木県,920.0,1943000.0
10000,群馬県,919.0,1949000.0
11000,埼玉県,2886.0,7342000.0
12000,千葉県,2654.0,6283000.0
13000,東京都,7154.0,14007000.0
14000,神奈川県,3675.0,9224000.0
15000,新潟県,894.0,2224000.0
16000,富山県,500.0,1043000.0
17000,石川県,513.0,1139000.0
18000,福井県,340.0,771000.0
19000,山梨県,458.0,815000.0
20000,長野県,935.0,2061000.0
21000,岐阜県,848.0,1992000.0
22000,静岡県,1685.0,3653000.0
23000,愛知県,3531.0,7557000.0
24000,三重県,791.0,1783000.0
25000,滋賀県,566.0,1416000.0
26000,京都府,1065.0,2592000.0
27000,大阪府,3891.0,8842000.0
28000,兵庫県,1977.0,5488000.0
29000,奈良県,458.0,1333000.0
30000,和歌山県,370.0,931000.0
31000,鳥取県,257.0,557000.0
32000,島根県,287.0,677000.0
33000,岡山県,788.0,1897000.0
34000,広島県,1221.0,2813000.0
35000,山口県,572.0,1357000.0
36000,徳島県,326.0,728000.0
37000,香川県,405.0,958000.0
38000,愛媛県,586.0,1346000.0
39000,高知県,283.0,699000.0
40000,福岡県,2313.0,5134000.0
41000,佐賀県,365.0,817000.0
42000,長崎県,532.0,1327000.0
43000,熊本県,781.0,1749000.0
44000,大分県,514.0,1134000.0
45000,宮崎県,424.0,1077000.0
46000,鹿児島県,675.0,1602000.0
47000,沖縄県,594.0,1462000.0
