area,pref,commute,sleep
01000,北海道,34.5,463.5
02000,青森県,33.0,467.0
03000,岩手県,34.0,460.5
04000,宮城県,42.0,468.5
05000,秋田県,32.5,461.0
06000,山形県,29.5,466.5
07000,福島県,35.5,464.5
08000,茨城県,41.5,462.0
09000,栃木県,38.0,459.5
10000,群馬県,37.0,458.0
11000,埼玉県,50.5,455.5
12000,千葉県,49.0,457.0
13000,東京都,47.0,456.5
14000,神奈川県,49.5,454.5
15000,新潟県,33.0,460.5
16000,富山県,36.0,463.0
17000,石川県,35.0,462.5
18000,福井県,34.0,465.5
19000,山梨県,34.5,461.0
20000,長野県,36.0,458.5
21000,岐阜県,38.0,455.0
22000,静岡県,36.0,453.0
23000,愛知県,43.5,455.5
24000,三重県,39.0,465.0
25000,滋賀県,40.0,464.0
26000,京都府,43.5,460.0
27000,大阪府,48.5,455.5
28000,兵庫県,47.5,454.5
29000,奈良県,45.5,456.0
30000,和歌山県,31.5,457.0
31000,鳥取県,33.0,466.5
32000,島根県,36.0,464.5
33000,岡山県,38.0,460.0
34000,広島県,42.5,462.0
35000,山口県,35.0,463.5
36000,徳島県,33.5,456.0
37000,香川県,35.5,460.0
38000,愛媛県,31.0,460.5
39000,高知県,34.5,464.5
40000,福岡県,39.5,461.5
41000,佐賀県,36.5,462.5
42000,長崎県,36.5,454.0
43000,熊本県,36.5,458.5
44000,大分県,36.5,462.5
45000,宮崎県,31.5,462.5
46000,鹿児島県,32.0,466.0
47000,沖縄県,39.5,466.0
