year,recognized,loss_yen
2004,25667,28378657974
2005,21612,25151867404
2006,19020,25493300973
2007,17930,25142421788
2008,20481,27594389498
2009,7340,9579122058
2010,6888,11247278665
2011,7216,20404305829
2012,8693,36436112888
2013,11998,48949490349
2014,13392,56550685877
2015,13824,48197981078
2016,14154,40765652881
2017,18212,39474870491
2018,17844,38286761222
2019,16851,31582937585
2020,13550,28523359039
2021,14498,28199462547
2022,17570,37081354580
2023,22884,90774639695
2024,31280,199071067370
