date,cbbtcusd,nikkei225
2014-12-01,370.0,17590.1
2014-12-02,378.0,17663.22
2014-12-03,378.0,17720.43
2014-12-04,377.1,17887.21
2014-12-08,375.0,17935.64
2014-12-10,360.5,17412.58
2014-12-12,350.0,17371.58
2014-12-18,340.0,17210.05
2015-01-08,288.99,17167.1
2015-01-13,260.0,17087.71
2015-01-14,120.0,16795.96
2015-01-15,204.22,17108.7
2015-01-16,199.46,16864.16
2015-01-19,225.51,17014.29
2015-01-20,218.0,17366.3
2015-01-21,225.51,17280.48
2015-01-22,226.32,17329.02
2015-01-23,235.0,17511.75
2015-01-26,274.48,17468.52
2015-01-27,263.65,17768.3
2015-01-28,236.09,17795.73
2015-01-29,235.03,17606.22
2015-01-30,229.07,17674.39
2015-02-02,237.83,17558.04
2015-02-03,228.58,17335.85
2015-02-04,227.11,17678.74
2015-02-05,216.76,17504.62
2015-02-06,223.2,17648.5
2015-02-09,221.1,17711.93
2015-02-10,220.87,17652.68
2015-02-12,223.21,17979.72
2015-02-13,236.49,17913.36
2015-02-16,234.68,18004.77
2015-02-17,244.82,17987.09
2015-02-18,237.49,18199.17
2015-02-19,240.9,18264.79
2015-02-20,245.34,18332.3
2015-02-23,239.49,18466.92
2015-02-24,239.87,18603.48
2015-02-25,238.19,18585.2
2015-02-26,237.11,18785.79
2015-02-27,254.42,18797.94
2015-03-02,276.7,18826.88
2015-03-03,283.27,18815.16
2015-03-04,273.37,18703.6
2015-03-05,276.86,18751.84
2015-03-06,273.23,18971.0
2015-03-09,290.19,18790.55
2015-03-10,293.47,18665.11
2015-03-11,296.99,18723.52
2015-03-12,296.05,18991.11
2015-03-13,284.0,19254.25
2015-03-16,292.37,19246.06
2015-03-17,286.74,19437.0
2015-03-18,258.5,19544.48
2015-03-19,263.05,19476.56
2015-03-20,263.31,19560.22
2015-03-23,267.53,19754.36
2015-03-24,246.15,19713.45
2015-03-25,246.88,19746.2
2015-03-26,249.88,19471.12
2015-03-27,247.81,19285.63
2015-03-30,248.78,19411.4
2015-03-31,245.5,19206.99
2015-04-01,247.87,19034.84
2015-04-02,254.39,19312.79
2015-04-03,254.84,19435.08
2015-04-06,256.85,19397.98
2015-04-07,254.27,19640.54
2015-04-08,246.58,19789.81
2015-04-09,244.74,19937.72
2015-04-10,236.78,19907.63
2015-04-13,225.73,19905.46
2015-04-14,221.05,19908.68
2015-04-15,224.35,19869.76
2015-04-16,229.45,19885.77
2015-04-17,223.62,19652.88
2015-04-20,225.37,19634.49
2015-04-21,235.89,19909.09
2015-04-22,233.98,20133.9
2015-04-23,235.99,20187.65
2015-04-24,231.51,20020.04
2015-04-27,227.58,19983.32
2015-04-28,225.64,20058.95
2015-04-30,236.81,19520.01
2015-05-01,233.14,19531.63
2015-05-07,237.99,19291.99
2015-05-08,244.54,19379.19
2015-05-11,242.86,19620.91
2015-05-12,242.03,19624.84
2015-05-13,236.32,19764.72
2015-05-14,237.46,19570.24
2015-05-15,237.82,19732.92
2015-05-18,234.04,19890.27
2015-05-19,232.59,20026.38
2015-05-20,234.54,20196.56
2015-05-21,235.77,20202.87
2015-05-22,240.45,20264.41
2015-05-25,237.43,20413.77
2015-05-26,236.79,20437.48
2015-05-27,237.35,20472.58
2015-05-28,237.34,20551.46
2015-05-29,236.89,20563.15
2015-06-01,223.56,20569.87
2015-06-02,225.85,20543.19
2015-06-03,225.86,20473.51
2015-06-04,224.57,20488.19
2015-06-05,224.97,20460.9
2015-06-08,229.1,20457.19
2015-06-09,229.18,20096.3
2015-06-10,228.73,20046.36
2015-06-11,229.69,20382.97
2015-06-12,229.47,20407.08
2015-06-15,236.99,20387.79
2015-06-16,251.91,20257.94
2015-06-17,250.25,20219.27
2015-06-18,249.27,19990.82
2015-06-19,246.33,20174.24
2015-06-22,247.5,20428.19
2015-06-23,244.52,20809.42
2015-06-24,240.04,20868.03
2015-06-25,242.44,20771.4
2015-06-26,243.0,20706.15
2015-06-29,257.54,20109.95
2015-06-30,263.82,20235.73
2015-07-01,259.02,20329.32
2015-07-02,254.85,20522.5
2015-07-03,256.95,20539.79
2015-07-06,269.94,20112.12
2015-07-07,266.18,20376.59
2015-07-08,270.97,19737.64
2015-07-09,269.75,19855.5
2015-07-10,286.67,19779.83
2015-07-13,293.08,20089.77
2015-07-14,287.51,20385.33
2015-07-15,285.7,20463.33
2015-07-16,279.38,20600.12
2015-07-17,280.58,20650.92
2015-07-21,277.32,20841.97
2015-07-22,277.89,20593.67
2015-07-23,277.39,20683.95
2015-07-24,289.12,20544.53
2015-07-27,294.21,20350.1
2015-07-28,295.76,20328.89
2015-07-29,290.19,20302.91
2015-07-30,288.49,20522.83
2015-07-31,285.19,20585.24
2015-08-03,280.95,20548.11
2015-08-04,285.51,20520.36
2015-08-05,282.77,20614.06
2015-08-06,279.65,20664.44
2015-08-07,279.94,20724.56
2015-08-10,265.15,20808.69
2015-08-11,271.99,20720.75
2015-08-12,266.94,20392.77
2015-08-13,264.67,20595.55
2015-08-14,266.17,20519.45
2015-08-17,257.31,20620.26
2015-08-18,221.99,20554.47
2015-08-19,227.34,20222.63
2015-08-20,235.56,20033.52
2015-08-21,232.85,19435.83
2015-08-24,211.16,18540.68
2015-08-25,223.73,17806.7
2015-08-26,226.81,18376.83
2015-08-27,225.8,18574.44
2015-08-28,231.55,19136.32
2015-08-31,230.75,18890.48
2015-09-01,228.22,18165.69
2015-09-02,229.97,18095.4
2015-09-03,227.25,18182.39
2015-09-04,231.39,17792.16
2015-09-07,241.31,17860.47
2015-09-08,244.14,17427.08
2015-09-09,238.75,18770.51
2015-09-10,238.52,18299.62
2015-09-11,240.9,18264.22
2015-09-14,231.01,17965.7
2015-09-15,230.6,18026.48
2015-09-16,229.73,18171.6
2015-09-17,233.34,18432.27
2015-09-18,233.78,18070.21
2015-09-24,235.27,17571.83
2015-09-25,235.89,17880.51
2015-09-28,239.99,17645.11
2015-09-29,236.89,16930.84
2015-09-30,237.14,17388.15
2015-10-01,238.34,17722.42
2015-10-02,238.28,17725.13
2015-10-05,240.95,18005.49
2015-10-06,246.64,18186.1
2015-10-07,244.0,18322.98
2015-10-08,242.94,18141.17
2015-10-09,244.35,18438.67
2015-10-13,250.99,18234.74
2015-10-14,253.27,17891.0
2015-10-15,254.99,18096.9
2015-10-16,263.43,18291.8
2015-10-19,265.17,18131.23
2015-10-20,271.14,18207.15
2015-10-21,268.77,18554.28
2015-10-22,275.84,18435.87
2015-10-23,278.76,18825.3
2015-10-26,287.1,18947.12
2015-10-27,295.61,18777.04
2015-10-28,304.09,18903.02
2015-10-29,316.08,18935.71
2015-10-30,329.11,19083.1
2015-11-02,365.21,18683.24
2015-11-04,410.0,18926.91
2015-11-05,387.21,19116.41
2015-11-06,374.09,19265.6
2015-11-09,379.53,19642.74
