tab,edu,age,job,value
08,03,01,010,465.1
08,03,01,020,340.1
08,03,01,030,280.6
08,03,01,040,270.9
08,03,01,050,238.2
08,03,01,060,247.1
08,03,01,070,253.5
08,03,01,080,282.6
08,03,01,090,321.6
08,03,01,100,337.0
08,03,01,110,259.8
08,03,01,999,379.2
08,06,01,010,579.1
08,06,01,020,405.8
08,06,01,030,342.4
08,06,01,040,355.4
08,06,01,050,280.4
08,06,01,060,275.1
08,06,01,070,265.2
08,06,01,080,306.7
08,06,01,090,324.8
08,06,01,100,364.1
08,06,01,110,283.5
08,06,01,999,452.1
08,03,02,010,209.7
08,03,02,020,192.9
08,03,02,030,177.4
08,03,02,040,184.7
08,03,02,050,185.3
08,03,02,060,208.8
08,03,02,070,182.4
08,03,02,080,194.0
08,03,02,090,206.5
08,03,02,100,198.9
08,03,02,110,205.3
08,03,02,999,193.3
08,03,03,010,257.9
08,03,03,020,242.9
08,03,03,030,197.9
08,03,03,040,201.9
08,03,03,050,212.1
08,03,03,060,241.3
08,03,03,070,209.8
08,03,03,080,218.5
08,03,03,090,269.3
08,03,03,100,248.2
08,03,03,110,224.3
08,03,03,999,241.5
08,06,03,010,271.5
08,06,03,020,254.4
08,06,03,030,237.0
08,06,03,040,244.5
08,06,03,050,228.4
08,06,03,060,233.8
08,06,03,070,207.2
08,06,03,080,232.0
08,06,03,090,250.6
08,06,03,100,244.5
08,06,03,110,245.8
08,06,03,999,254.8
08,03,04,010,287.0
08,03,04,020,269.5
08,03,04,030,223.4
08,03,04,040,230.0
08,03,04,050,225.7
08,03,04,060,252.8
08,03,04,070,216.5
08,03,04,080,246.2
08,03,04,090,297.9
08,03,04,100,296.1
08,03,04,110,248.0
08,03,04,999,294.3
08,06,04,010,355.0
08,06,04,020,304.1
08,06,04,030,271.6
08,06,04,040,287.9
08,06,04,050,254.3
08,06,04,060,283.5
08,06,04,070,225.2
08,06,04,080,253.0
08,06,04,090,281.6
08,06,04,100,295.3
08,06,04,110,266.4
08,06,04,999,303.8
08,03,05,010,313.3
08,03,05,020,305.3
08,03,05,030,247.3
08,03,05,040,248.9
08,03,05,050,238.9
08,03,05,060,256.6
08,03,05,070,229.2
08,03,05,080,273.8
08,03,05,090,316.2
08,03,05,100,325.5
08,03,05,110,256.2
08,03,05,999,328.3
08,06,05,010,475.4
08,06,05,020,357.0
08,06,05,030,315.6
08,06,05,040,331.5
08,06,05,050,274.1
08,06,05,060,301.6
08,06,05,070,246.2
08,06,05,080,282.9
08,06,05,090,324.0
08,06,05,100,350.1
08,06,05,110,268.3
08,06,05,999,372.2
08,03,06,010,400.8
08,03,06,020,334.8
08,03,06,030,265.1
08,03,06,040,270.1
08,03,06,050,253.2
08,03,06,060,266.2
08,03,06,070,273.7
08,03,06,080,297.0
08,03,06,090,332.4
