lang,tag,year,questions
Python,python,2009,12824
Python,python,2010,26914
Python,python,2011,41909
Python,python,2012,63728
Python,python,2013,95504
Python,python,2014,115084
Python,python,2015,135966
Python,python,2016,157393
Python,python,2017,190800
Python,python,2018,204457
Python,python,2019,223158
Python,python,2020,283212
Python,python,2021,250152
Python,python,2022,223809
Python,python,2023,112209
Python,python,2024,51416
JavaScript,javascript,2009,18682
JavaScript,javascript,2010,43372
JavaScript,javascript,2011,89372
JavaScript,javascript,2012,134979
JavaScript,javascript,2013,193707
JavaScript,javascript,2014,232804
JavaScript,javascript,2015,253350
JavaScript,javascript,2016,262214
JavaScript,javascript,2017,248119
JavaScript,javascript,2018,206971
JavaScript,javascript,2019,187538
JavaScript,javascript,2020,212836
JavaScript,javascript,2021,178320
JavaScript,javascript,2022,149602
JavaScript,javascript,2023,72323
JavaScript,javascript,2024,29359
Java,java,2009,23820
Java,java,2010,54142
Java,java,2011,98209
Java,java,2012,143102
Java,java,2013,188264
Java,java,2014,214045
Java,java,2015,213083
Java,java,2016,195261
Java,java,2017,173151
Java,java,2018,144381
Java,java,2019,125365
Java,java,2020,119621
Java,java,2021,87055
Java,java,2022,68049
Java,java,2023,39199
Java,java,2024,18290
C#,c#,2009,45885
C#,c#,2010,75155
C#,c#,2011,112008
C#,c#,2012,136949
C#,c#,2013,163472
C#,c#,2014,160715
C#,c#,2015,153364
C#,c#,2016,147883
C#,c#,2017,130533
C#,c#,2018,107762
C#,c#,2019,98967
C#,c#,2020,87146
C#,c#,2021,66405
C#,c#,2022,62139
C#,c#,2023,39101
C#,c#,2024,20860
C++,c++,2009,15597
C++,c++,2010,31844
C++,c++,2011,47672
C++,c++,2012,62554
C++,c++,2013,81279
C++,c++,2014,81554
C++,c++,2015,79126
C++,c++,2016,70954
C++,c++,2017,61595
C++,c++,2018,51462
C++,c++,2019,49051
C++,c++,2020,57754
C++,c++,2021,45516
C++,c++,2022,37217
C++,c++,2023,20374
C++,c++,2024,12453
TypeScript,typescript,2009,1
TypeScript,typescript,2010,0
TypeScript,typescript,2011,1
TypeScript,typescript,2012,501
TypeScript,typescript,2013,1138
TypeScript,typescript,2014,1531
TypeScript,typescript,2015,3242
TypeScript,typescript,2016,13609
TypeScript,typescript,2017,21941
TypeScript,typescript,2018,25547
TypeScript,typescript,2019,28993
TypeScript,typescript,2020,33771
TypeScript,typescript,2021,33041
TypeScript,typescript,2022,34180
TypeScript,typescript,2023,22428
TypeScript,typescript,2024,11047
Go,go,2009,76
Go,go,2010,149
Go,go,2011,359
Go,go,2012,916
Go,go,2013,2086
Go,go,2014,3969
Go,go,2015,5107
Go,go,2016,6458
Go,go,2017,6997
Go,go,2018,7853
Go,go,2019,7540
Go,go,2020,7905
Go,go,2021,7744
Go,go,2022,8314
Go,go,2023,5675
Go,go,2024,2605
Rust,rust,2009,0
Rust,rust,2010,1
Rust,rust,2011,0
Rust,rust,2012,25
Rust,rust,2013,136
Rust,rust,2014,1043
Rust,rust,2015,2221
Rust,rust,2016,2208
Rust,rust,2017,2358
Rust,rust,2018,2654
Rust,rust,2019,3594
Rust,rust,2020,5053
Rust,rust,2021,5957
Rust,rust,2022,7625
Rust,rust,2023,6109
Rust,rust,2024,3498
