country,gdp_pc
Africa Eastern and Southern,4501.6011005616
Africa Western and Central,6520.28031254058
Arab World,18488.7415611006
Caribbean small states,32868.2089967349
Central Europe and the Baltics,47989.0336580339
Early-demographic dividend,13251.6405875685
East Asia & Pacific,25623.4876925682
East Asia & Pacific (excluding high income),21666.586245648
East Asia & Pacific (IDA & IBRD countries),21910.1107554067
Euro area,64036.3243961557
Europe & Central Asia,50252.4490126679
Europe & Central Asia (excluding high income),27541.8246833293
Europe & Central Asia (IDA & IBRD countries),35796.1155604848
European Union,61368.1097230199
Fragile and conflict affected situations,6234.09052638352
Heavily indebted poor countries (HIPC),3449.70857928077
High income,64488.4960624259
IBRD only,19833.3049201231
IDA & IBRD total,15834.6785727655
IDA blend,7301.41287406728
IDA only,4484.0573049152
IDA total,5459.15149707535
Late-demographic dividend,26461.845974943
Latin America & Caribbean,22091.9909742258
Latin America & Caribbean (excluding high income),21091.6097448769
Latin America & the Caribbean (IDA & IBRD countries),21983.7516896603
Least developed countries: UN classification,4286.72070784438
Low & middle income,14898.6485669954
Low income,2289.51620645228
Lower middle income,9599.87294803058
"Middle East, North Africa, Afghanistan & Pakistan",15802.6631979548
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",10869.5026341704
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",10905.7472983672
Middle income,16203.7273886376
North America,80387.021822965
OECD members,59701.2937485839
Other small states,28037.0871693725
Pacific island small states,7855.01947624673
Post-demographic dividend,65676.3739080037
Pre-demographic dividend,5102.90092713158
Small states,26417.7236995124
South Asia,10176.3547635823
South Asia (IDA & IBRD),10176.3547635823
Sub-Saharan Africa,5318.14347437487
Sub-Saharan Africa (excluding high income),5571.64191022976
Sub-Saharan Africa (IDA & IBRD countries),5318.14347437486
Upper middle income,23433.8813544293
World,23379.1732967639
Afghanistan,2201.72290691677
Albania,24822.3543089995
Algeria,16824.4879034627
Andorra,71730.668682165
Angola,9753.60046763783
Antigua and Barbuda,31601.7527146877
Argentina,30221.4976888753
Armenia,21534.030536117
Aruba,46574.3574197653
Australia,72272.7092136683
Austria,73544.6567230487
Azerbaijan,23651.5994852756
"Bahamas, The",39090.1214737976
Bahrain,64171.0857359052
Bangladesh,9147.7775066555
Barbados,23660.4047512929
Belarus,30834.1773668111
Belgium,71946.1447190292
Belize,13729.892058721
Benin,4129.9661200142
Bermuda,114372.049927372
Bhutan,16215.1520073153
Bolivia,12892.1249578777
Bosnia and Herzegovina,23376.2227477141
Botswana,21012.10319925
Brazil,21175.6186988214
Brunei Darussalam,85032.6008741995
Bulgaria,38829.1913208102
Burkina Faso,2759.30205484605
Burundi,1149.98405842389
Cabo Verde,10242.1532011212
Cambodia,7430.73085709837
Cameroon,5410.76921937642
Canada,64219.3173928637
Cayman Islands,88427.7866712691
Central African Republic,1257.09435717114
Chad,2700.36055335878
Chile,33145.403552025
China,25179.1193066383
Colombia,21246.3762695201
Comoros,3811.65084882413
"Congo, Dem. Rep.",1730.62228877694
"Congo, Rep.",6850.27770621099
Costa Rica,28908.7688743191
Cote d'Ivoire,7237.18170740909
Croatia,47759.6982995339
Curacao,30651.5885510423
Cyprus,59874.5703125
Czechia,55761.3798291375
Denmark,77892.2932609904
Djibouti,7225.8387957249
Dominica,20285.9821663707
Dominican Republic,25839.9356687607
Ecuador,15918.5162948773
"Egypt, Arab Rep.",18524.8392997937
El Salvador,12679.5768752061
Equatorial Guinea,17411.500234384
Estonia,48637.1802208795
Eswatini,11299.8831236788
Ethiopia,3060.9050300376
Faroe Islands,79694.929791758
Fiji,14644.1773754361
Finland,63414.9936878177
France,60838.9416716424
Gabon,20755.665381766
"Gambia, The",3289.13283057107
Georgia,25071.9677264107
Germany,71684.0311875583
Ghana,7556.41605453234
Greece,42710.5058010314
Greenland,78840.5978395988
Grenada,18970.740164653
Guatemala,13745.3631241794
Guinea,4333.74617312626
Guinea-Bissau,2989.67235980477
Guyana,54729.0365156366
Haiti,3291.73817887066
Honduras,7178.33906781522
"Hong Kong SAR, China",71512.3193551161
Hungary,46592.3856070073
Iceland,81608.4479116436
India,10323.4998734428
Indonesia,15415.7079259527
"Iran, Islamic Rep.",18917.0914723132
Iraq,14652.5212399212
Ireland,129682.607150517
Israel,55171.2318814321
Italy,60029.871712398
Jamaica,12650.9052955938
Japan,50661.7663463109
Jordan,10411.8416152967
Kazakhstan,38515.1836009979
Kenya,6317.03904665091
Kiribati,3485.55808311399
"Korea, Rep.",57429.8031076402
Kosovo,15804.4065754058
Kuwait,53025.4710858063
Kyrgyz Republic,7298.08612561933
Lao PDR,9291.78859001138
Latvia,42576.4060799457
Lebanon,12574.8329116403
Lesotho,2880.96629615692
Liberia,1794.53340863362
Libya,13847.0792190045
Lithuania,52348.2468215268
Luxembourg,150508.218886888
"Macao SAR, China",116328.540600134
Madagascar,1808.44779038579
Malawi,1830.46461287442
Malaysia,36466.8914938333
Maldives,24786.2032123451
Mali,3174.62960276396
Malta,67057.2184329891
Marshall Islands,7548.73253747944
Mauritania,6965.90953574715
Mauritius,29560.7137230079
Mexico,25243.1644887582
"Micronesia, Fed. Sts.",4233.74492558769
Moldova,17746.9405538684
Mongolia,18004.8512058355
Montenegro,31862.7715778041
Morocco,9894.650390625
Mozambique,1678.39118243681
Myanmar,5953.35735165913
Namibia,11251.2370313819
Nauru,13731.5704745016
Nepal,5395.20820077513
Netherlands,81728.6904629268
New Zealand,54697.382252318
Nicaragua,8319.97944140996
Niger,1875.15306770628
Nigeria,8705.43426693539
North Macedonia,25354.103505762
Norway,103637.516843678
Oman,41945.0255640883
Pakistan,6013.989636386
Palau,18230.2698627414
Panama,39813.3857939972
Papua New Guinea,4667.83567092991
Paraguay,17564.4912369374
Peru,17011.2278028825
Philippines,10985.8292627505
Poland,48473.0940286419
Portugal,49352.8388613032
Puerto Rico (US),47543.3937761528
Qatar,129367.869670927
Romania,45981.6027785222
Russian Federation,44268.73046875
Rwanda,3399.45174603143
Samoa,8194.80725640734
San Marino,78745.4313299335
Sao Tome and Principe,6149.98146081932
Saudi Arabia,71564.800028565
Senegal,4777.61451861578
Serbia,29776.8951752159
Seychelles,31780.7838341965
Sierra Leone,3368.31727188063
Singapore,143786.136293013
Sint Maarten (Dutch part),51686.6520818084
Slovak Republic,45973.9406902991
Slovenia,56064.0974596742
Solomon Islands,2596.56364252803
"Somalia, Fed. Rep.",1555.61016798776
South Africa,15199.7329823776
Spain,55682.2402603093
Sri Lanka,14455.6544414734
St. Kitts and Nevis,33979.6303615734
St. Lucia,25974.5092925263
St. Vincent and the Grenadines,19819.869034679
Sudan,2420.65795898438
Suriname,21110.1980204563
Sweden,69226.3272756663
Switzerland,95141.5960943632
Tajikistan,4963.58295264504
Tanzania,4018.5166015625
Thailand,23519.2120979823
Timor-Leste,4806.82181559299
Togo,3154.43329348299
Tonga,7802.66986206107
Trinidad and Tobago,34623.3691500959
Tunisia,14040.5961148142
Turkiye,42786.2004948664
Turkmenistan,19828.9248461199
Turks and Caicos Islands,35336.7403511449
Tuvalu,6151.01047041608
Uganda,3097.63702430619
Ukraine,17665.34375
United Arab Emirates,77955.2951760879
United Kingdom,59911.3467663209
United States,82304.6204272866
Uruguay,34470.9322201143
Uzbekistan,11106.9715934767
Vanuatu,3567.81882030223
Viet Nam,15033.8768594355
West Bank and Gaza,5950.02006184393
Zambia,4076.99508686641
Zimbabwe,5791.19212877988
