country,gdp
Africa Eastern and Southern,1179359054880.45
Africa Western and Central,938238370514.198
Arab World,3622495663981.78
Caribbean small states,79534673452.944
Central Europe and the Baltics,2273205742208.3
Early-demographic dividend,14933453330998.3
East Asia & Pacific,31417826880875.0
East Asia & Pacific (excluding high income),21644412635340.6
East Asia & Pacific (IDA & IBRD countries),21617676926854.5
Euro area,15854782417877.0
Europe & Central Asia,27732942821913.5
Europe & Central Asia (excluding high income),2143244215113.25
Europe & Central Asia (IDA & IBRD countries),5562782514647.52
European Union,18659133072074.8
Fragile and conflict affected situations,1778723185468.2
Heavily indebted poor countries (HIPC),1060316071770.29
High income,68449582732271.5
IBRD only,39248258733753.5
IDA & IBRD total,42176516066439.0
IDA blend,1272526278004.68
IDA only,1655731054680.85
IDA total,2928257332685.53
Late-demographic dividend,28934446547714.4
Latin America & Caribbean,6910660006084.82
Latin America & Caribbean (excluding high income),6014673692976.05
Latin America & the Caribbean (IDA & IBRD countries),6591336702938.76
Least developed countries: UN classification,1459966948607.94
Low & middle income,38059330027173.0
Low income,434043376409.571
Lower middle income,7684634708973.7
"Middle East, North Africa, Afghanistan & Pakistan",4905729965245.33
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2094668147144.99
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2076820247144.99
Middle income,37622349618946.3
North America,29474089705278.7
OECD members,64648892594414.4
Other small states,196615944595.18
Pacific island small states,11224282183.2085
Post-demographic dividend,60342185357196.2
Pre-demographic dividend,1680243373294.08
Small states,287374900231.333
South Asia,4210302249458.65
South Asia (IDA & IBRD),4210302249458.65
Sub-Saharan Africa,2117597425394.64
Sub-Saharan Africa (excluding high income),1979535952437.49
Sub-Saharan Africa (IDA & IBRD countries),2117597425394.65
Upper middle income,29939274216922.3
World,106741647821064.0
Afghanistan,17152234636.8715
Albania,23491242727.4082
Algeria,247923887214.655
Andorra,3785065524.84754
Angola,107167747140.127
Antigua and Barbuda,2005785185.18518
Argentina,649461687959.174
Armenia,24185982215.6543
Aruba,3834729616.12027
Australia,1734451264655.6
Austria,516670509628.876
Azerbaijan,72428470588.2353
"Bahamas, The",15271300000.0
Bahrain,46192260638.2979
Bangladesh,437415333018.291
Barbados,7223250000.0
Belarus,72478760370.4258
Belgium,651330595110.011
Belize,3052362650.0
Benin,19673291004.1444
Bermuda,8579242000.0
Bhutan,3012896789.24928
Bolivia,52340206946.4544
Bosnia and Herzegovina,27592361498.4057
Botswana,19411266967.1044
Brazil,2191131869706.02
Brunei Darussalam,15095084656.1634
Bulgaria,102199231384.542
Burkina Faso,20112614449.2039
Burundi,3430949249.91221
Cabo Verde,2504525548.71164
Cambodia,42335646895.7984
Cameroon,48814501547.4313
Canada,2173339670064.33
Cayman Islands,7241244269.45972
Central African Republic,2555492085.94725
Chad,18340233748.8805
Channel Islands,12507320838.3932
Chile,335518054097.637
China,18270356654533.2
Colombia,366291836137.916
Comoros,1326836543.00797
"Congo, Dem. Rep.",69843655425.2929
"Congo, Rep.",15321055822.5167
Costa Rica,86497941439.0174
Cote d'Ivoire,80780312569.1646
Croatia,85624153964.0987
Curacao,3281419347.37053
Cyprus,35075423857.0996
Czechia,345059295659.911
Denmark,404651706117.557
Djibouti,3898447007.38798
Dominica,659311111.111111
Dominican Republic,120456239153.739
Ecuador,121147057000.0
"Egypt, Arab Rep.",395926075163.006
El Salvador,33853940000.0
Equatorial Guinea,12337550583.754
Estonia,41470344395.1086
Eswatini,4621191261.84214
Ethiopia,135874093202.492
Faroe Islands,3943131022.2291
Fiji,5476673518.13788
Finland,295021982462.75
France,3056250648138.29
French Polynesia,6137447782.87066
Gabon,19388372070.9778
"Gambia, The",2382262184.68273
Georgia,30777833600.6515
Germany,4562207532490.28
Ghana,80547146878.3843
Greece,242946187738.269
Greenland,3326543974.39193
Grenada,1336418518.51852
Guatemala,104368755054.601
Guinea,22407615556.0571
Guinea-Bissau,2127688181.12014
Guyana,16918503597.1223
Haiti,19850585722.3241
Honduras,34355805527.9795
"Hong Kong SAR, China",381043026173.935
Hungary,213240316634.648
Iceland,31677891896.7861
India,3638489096033.86
Indonesia,1371169301563.62
"Iran, Islamic Rep.",457510482317.483
Iraq,268881051643.549
Ireland,567372737459.116
Israel,512184638998.974
Italy,2316727999333.18
Jamaica,21418804319.6395
Japan,4213167237905.83
Jordan,51088476338.0282
Kazakhstan,261840101059.923
Kenya,107500884685.013
Kiribati,288610747.738991
"Korea, Rep.",1844800934391.54
Kosovo,10468224574.7539
Kuwait,165384407116.233
Kyrgyz Republic,15180842369.4894
Lao PDR,15843155731.2552
Latvia,42779550936.838
Lebanon,20078620356.9931
Lesotho,2117962445.37471
Liberia,4390000000.0
Libya,44027664915.187
Liechtenstein,8239379403.22096
Lithuania,79789877416.1681
Luxembourg,88788881539.3937
"Macao SAR, China",45626467279.891
Madagascar,15869945477.8505
Malawi,13363669672.9405
Malaysia,399949418752.657
Maldives,6621008703.95743
Mali,24813860598.5307
Malta,22610561526.1461
Marshall Islands,263761322.021484
Mauritania,10726838461.3987
Mauritius,14072212290.4596
Mexico,1798317581486.88
"Micronesia, Fed. Sts.",441469400.0
Moldova,16711906746.2133
Monaco,10003892565.2005
Mongolia,20325121393.9074
Montenegro,7644389159.84471
Morocco,146036093666.762
Mozambique,20921079532.6094
Myanmar,66757619000.0
Namibia,12408271449.2244
Nauru,151435609.578807
Nepal,41047772331.0994
Netherlands,1135475867551.0
New Caledonia,9769167530.35744
New Zealand,255194972673.122
Nicaragua,17805842283.8725
Niger,16698786977.59
Nigeria,487387801880.597
North Macedonia,15855131188.9092
Norway,482949731776.587
Oman,106174708036.51
Pakistan,336686348609.266
Palau,276733062.744141
Panama,83812155244.3352
Papua New Guinea,30816367066.9594
Paraguay,43118053174.5461
Peru,266958720837.988
Philippines,437055627244.424
Poland,812451193396.143
Portugal,292323800948.839
Puerto Rico (US),118478754280.882
Qatar,217308516483.516
Romania,347757995758.914
Russian Federation,2071505725030.58
Rwanda,14331722703.4134
Samoa,1044909500.02527
San Marino,2027527227.831
Sao Tome and Principe,690456806.696406
Saudi Arabia,1218584533333.33
Senegal,30696331295.7826
Serbia,81343999280.0179
Seychelles,2187379754.66167
Sierra Leone,6415852766.73832
Singapore,505439514078.019
Sint Maarten (Dutch part),1686525953.05006
Slovak Republic,133578518423.544
Slovenia,69255264238.3855
Solomon Islands,1506124566.40404
"Somalia, Fed. Rep.",10958000000.0
South Africa,381440724491.232
Spain,1619481980719.64
Sri Lanka,83716142582.1945
St. Kitts and Nevis,1055651851.85185
St. Lucia,2430166666.66667
St. Vincent and the Grenadines,1072237037.03704
Sudan,39898289820.7951
Suriname,3472693412.08497
Sweden,578990915246.07
Switzerland,894424821645.205
Tajikistan,12244169292.7998
Tanzania,79030935627.0781
Thailand,515906283940.933
Timor-Leste,2079767170.22651
Togo,9816236302.58515
Tonga,591139749.44287
Trinidad and Tobago,25036993423.3664
Tunisia,48205328303.3398
Turkiye,1141242864657.45
Turkmenistan,45894538665.5538
Turks and Caicos Islands,1638653000.0
Tuvalu,62280311.5852172
Uganda,48768955863.3175
Ukraine,181221517868.744
United Arab Emirates,522622191967.325
United Kingdom,3420796653789.08
United States,27292170793214.4
Uruguay,77991666837.7382
Uzbekistan,102641879248.764
Vanuatu,1115861055.72463
"Venezuela, RB",102376526555.948
Viet Nam,433857681378.291
West Bank and Gaza,17847900000.0
Zambia,27577956471.244
Zimbabwe,35871779680.6335
