area,1人当たり県民所得,完全失業率,平均余命(男),持ち家の広さ,持ち家比率,pref
01000,2811.0,4.2,80.92,120.1,57.0,北海道
02000,2858.0,4.6,79.27,145.2,71.4,青森県
03000,2685.0,3.8,80.64,145.8,70.3,岩手県
04000,2865.0,4.3,81.7,127.9,60.0,宮城県
05000,2689.0,4.1,80.48,154.3,77.1,秋田県
06000,2861.0,3.4,81.39,159.9,75.0,山形県
07000,2921.0,4.1,80.6,139.2,68.3,福島県
08000,3438.0,3.9,80.89,126.9,69.4,茨城県
09000,3307.0,4.1,81.0,128.7,69.1,栃木県
10000,3187.0,3.8,81.13,128.7,71.1,群馬県
11000,3049.0,4.0,81.44,106.4,65.1,埼玉県
12000,3059.0,3.8,81.45,109.0,64.7,千葉県
13000,5761.0,3.6,81.77,90.5,44.7,東京都
14000,3199.0,3.7,82.04,97.9,58.7,神奈川県
15000,2919.0,3.6,81.29,155.7,74.0,新潟県
16000,3291.0,3.1,81.74,167.5,74.9,富山県
17000,2963.0,3.4,82.0,151.8,67.8,石川県
18000,3263.0,2.9,81.98,163.5,73.5,福井県
19000,3243.0,3.9,81.71,132.6,68.6,山梨県
20000,2949.0,3.3,82.68,144.1,71.7,長野県
21000,3092.0,3.3,81.9,141.9,73.7,岐阜県
22000,3314.0,3.8,81.59,127.5,67.4,静岡県
23000,3597.0,3.3,81.77,123.7,59.6,愛知県
24000,3111.0,3.1,81.68,131.1,72.3,三重県
25000,3161.0,3.4,82.73,137.2,70.9,滋賀県
26000,3026.0,4.1,82.24,110.5,60.7,京都府
27000,3051.0,4.5,80.81,99.9,54.5,大阪府
28000,2997.0,4.0,81.72,114.2,64.4,兵庫県
29000,2549.0,4.1,82.4,127.8,73.2,奈良県
30000,3084.0,3.9,81.03,123.8,73.8,和歌山県
31000,2507.0,3.5,81.34,147.2,69.6,鳥取県
32000,2909.0,2.7,81.63,151.1,69.6,島根県
33000,2743.0,3.6,81.9,131.4,65.6,岡山県
34000,3179.0,3.4,81.95,119.5,61.9,広島県
35000,2960.0,3.5,81.12,124.6,67.0,山口県
36000,3202.0,4.2,81.27,133.8,68.1,徳島県
37000,2851.0,3.5,81.56,132.1,69.4,香川県
38000,2670.0,3.7,81.13,123.7,65.0,愛媛県
39000,2653.0,4.1,80.79,117.3,66.0,高知県
40000,2733.0,4.6,81.38,114.8,52.7,福岡県
41000,2744.0,3.6,81.41,138.9,67.9,佐賀県
42000,2571.0,3.8,81.01,121.5,64.7,長崎県
43000,2746.0,3.9,81.91,125.0,62.9,熊本県
44000,2769.0,4.2,81.88,123.5,62.3,大分県
45000,2409.0,4.0,81.15,115.2,65.7,宮崎県
46000,2605.0,4.0,80.95,108.8,63.3,鹿児島県
47000,2258.0,5.5,80.73,106.0,42.6,沖縄県
