player,avg,league
オースティン,0.316,セ
サンタナ,0.315,セ
牧秀悟,0.294,セ
細川成也,0.292,セ
秋山翔吾,0.289,セ
長岡秀樹,0.288,セ
吉川尚輝,0.287,セ
近本光司,0.285,セ
宮﨑敏郎,0.283,セ
岡本和真,0.28,セ
小園海斗,0.28,セ
坂倉将吾,0.279,セ
丸佳浩,0.278,セ
森下翔太,0.275,セ
佐野恵太,0.273,セ
野間峻祥,0.271,セ
佐藤輝明,0.268,セ
オスナ,0.267,セ
矢野雅哉,0.26,セ
大山悠輔,0.259,セ
岡林勇希,0.256,セ
村上宗隆,0.244,セ
菊池涼介,0.241,セ
中野拓夢,0.232,セ
近藤健介,0.314,パ
辰己涼介,0.294,パ
森友哉,0.281,パ
佐藤都志也,0.278,パ
栗原陵矢,0.273,パ
ソト,0.269,パ
周東佑京,0.269,パ
鈴木大地,0.266,パ
源田壮亮,0.264,パ
今宮健太,0.262,パ
西川龍馬,0.258,パ
小郷裕哉,0.257,パ
郡司裕也,0.256,パ
浅村栄斗,0.253,パ
万波中正,0.252,パ
紅林弘太郎,0.247,パ
山川穂高,0.247,パ
ポランコ,0.243,パ
村林一輝,0.241,パ
松本剛,0.236,パ
マルティネス,0.234,パ
小深田大翔,0.229,パ
外崎修汰,0.227,パ
